# dT = 0.00250000
# Vi = 1.00000000
# Xi = 0.00000000
# tot_Step =   80001
# print_skip =      80
# method = Velocity-Verlet
#                   t                  vel                  pos                    E
 20.80000000   0.66867748  -0.92077344   0.64747665
 21.00000000   0.00053079  -1.13830165   0.64786546
 21.20000000  -0.66946949  -0.92104218   0.64825405
 21.40000000  -1.08509717  -0.35100832   0.65032135
 21.60000000  -1.08677376   0.35467122   0.65343444
 21.80000000  -0.67283545   0.92645580   0.65551394
 22.00000000  -0.00055950   1.14534489   0.65590762
 22.20000000   0.67359121   0.92675610   0.65630100
 22.40000000   1.09180329   0.35320443   0.65839389
 22.60000000   1.09350602  -0.35684147   0.66154562
 22.80000000   0.67701926  -0.93217323   0.66365101
 23.00000000   0.00058855  -1.15243172   0.66404961
 23.20000000  -0.67773830  -0.93250547   0.66444783
 23.40000000  -1.09855085  -0.35541428   0.66656664
 23.60000000  -1.10027998   0.35902500   0.66975749
 23.80000000  -0.68122910   0.93792594   0.67188908
 24.00000000  -0.00061794   1.15956239   0.67229266
 24.20000000   0.68191092   0.93829050   0.67269579
 24.40000000   1.10534011   0.35763796   0.67484084
 24.60000000   1.10709590  -0.36122189   0.67807130
 24.80000000   0.68546511  -0.94371415   0.68022941
 25.00000000   0.00064767  -1.16673719   0.68063804
 25.20000000  -0.68610923  -0.94411142   0.68104613
 25.40000000  -1.11217133  -0.35987554   0.68321774
 25.60000000  -1.11395405   0.36343222   0.68648830
 25.80000000  -0.68972746   0.94953808   0.68867327
 26.00000000  -0.00067775   1.17395638   0.68908702
 26.20000000   0.69033339   0.94996846   0.68950013
 26.40000000   1.11904477   0.36212712   0.69169863
 26.60000000   1.12085468  -0.36565608   0.69500979
 26.80000000   0.69401631  -0.95539795   0.69722194
 27.00000000   0.00070817  -1.18122024   0.69764087
 27.20000000  -0.69458355  -0.95586182   0.69805907
 27.40000000  -1.12596069  -0.36439279   0.70028479
 27.60000000  -1.12779805   0.36789354   0.70363705
 27.80000000  -0.69833183   0.96129398   0.70587674
 28.00000000  -0.00073894   1.18852904   0.70630091
 28.20000000   0.69885988   0.96179175   0.70672426
 28.40000000   1.13291935   0.36667264   0.70897754
 28.60000000   1.13478444  -0.37014469   0.71237141
 28.80000000   0.70267419  -0.96722640   0.71463897
 29.00000000   0.00077007  -1.19588306   0.71506845
 29.20000000  -0.70316254  -0.96775847   0.71549701
 29.40000000  -1.13992101  -0.36896674   0.71777819
 29.60000000  -1.14181411   0.37240961   0.72121419
 29.80000000  -0.70704354   0.97319543   0.72350996
 30.00000000  -0.00080155   1.20328259   0.72394482
 30.20000000   0.70749169   0.97376220   0.72437865
 30.40000000   1.14696595   0.37127519   0.72668808
 30.60000000   1.14888732  -0.37468839   0.73016673
 30.80000000   0.71144007  -0.97920130   0.73249107
 31.00000000   0.00083340  -1.21072790   0.73293137
 31.20000000  -0.71184748  -0.97980317   0.73337055
 31.40000000  -1.15405442  -0.37359809   0.73570857
 31.60000000  -1.15600435   0.37698111   0.73923041
 31.80000000  -0.71586393   0.98524422   0.74158367
 32.00000000  -0.00086560   1.21821928   0.74202948
 32.20000000   0.71623010   0.98588162   0.74247406
 32.40000000   1.16118670   0.37593552   0.74484104
 32.60000000   1.16316546  -0.37928786   0.74840659
 32.80000000   0.72031530  -0.99132444   0.75078914
 33.00000000   0.00089818  -1.22575701   0.75124053
 33.20000000  -0.72063969  -0.99199778   0.75169058
 33.40000000  -1.16836306  -0.37828757   0.75408686
 33.60000000  -1.17037094   0.38160872   0.75769668
 33.80000000  -0.72479434   0.99744219   0.76010888
 34.00000000  -0.00093112   1.23334138   0.76056592
 34.20000000   0.72507644   0.99815189   0.76102151
 34.40000000   1.17558377   0.38065433   0.76344746
 34.60000000   1.17762105  -0.38394378   0.76710208
 34.80000000   0.72930124  -1.00359768   0.76954430
 35.00000000   0.00096444  -1.24097268   0.77000706
 35.20000000  -0.72954049  -1.00434416   0.77046827
 35.40000000  -1.18284911  -0.38303590   0.77292426
 35.60000000  -1.18491607   0.38629313   0.77662424
 35.80000000  -0.73383616   1.00979116   0.77909685
 36.00000000  -0.00099813   1.24865119   0.77956540
 36.20000000   0.73403203   1.01057486   0.78003228
 36.40000000   1.19015934   0.38543237   0.78251869
 36.60000000   1.19225629  -0.38865685   0.78626460
 36.80000000   0.73839928  -1.01602287   0.78876798
 37.00000000   0.00103220  -1.25637722   0.78924239
 37.20000000  -0.73855122  -1.01684421   0.78971502
 37.40000000  -1.19751475  -0.38784383   0.79223221
 37.60000000  -1.19964197   0.39103504   0.79602463
 37.80000000  -0.74299077   1.02229302   0.79855916
 38.00000000  -0.00106666   1.26415105   0.79903951
 38.20000000   0.74309824   1.02315245   0.79951796
 38.40000000   1.20491563   0.39027037   0.80206631
 38.60000000   1.20707340  -0.39342777   0.80590580
 38.80000000   0.74761081  -1.02860188   0.80847188
 39.00000000   0.00110150  -1.27197298   0.80895824
 39.20000000  -0.74767324  -1.02949982   0.80944258
 39.40000000  -1.21236223  -0.39271210   0.81202249
 39.60000000  -1.21455087   0.39583514   0.81590964
 39.80000000  -0.75225958   1.03494966   0.81850764
 40.00000000  -0.00113674   1.27984331   0.81900009
 40.20000000   0.75227642   1.03588657   0.81949040
 40.40000000   1.21985486   0.39516910   0.82210225
 40.60000000   1.22207466  -0.39825724   0.82603765
 40.80000000   0.75693726  -1.04133662   0.82866799
 41.00000000   0.00117236  -1.28776233   0.82916660
 41.20000000  -0.75690793  -1.04231294   0.82966294
 41.40000000  -1.22739380  -0.39764146   0.83230713
 41.60000000  -1.22964506   0.40069416   0.83629139
 41.80000000  -0.76164402   1.04776300   0.83895445
 42.00000000  -0.00120839   1.29573035   0.83945931
 42.20000000   0.76156795   1.04877918   0.83996176
 42.40000000   1.23497932   0.40012930   0.84263869
 42.60000000   1.23726235  -0.40314599   0.84667240
 42.80000000   0.76638004  -1.05422903   0.84936861
 43.00000000   0.00124482  -1.30374768   0.84987978
 43.20000000  -0.76625667  -1.05528553   0.85038842
 43.40000000  -1.24261173  -0.40263270   0.85309850
 43.60000000  -1.24492683   0.40561282   0.85718228
 43.80000000  -0.77114552   1.06073497   0.85991204
 44.00000000  -0.00128165   1.31181461   0.86042961
 44.20000000   0.77097425   1.06183224   0.86094450
 44.40000000   1.25029130   0.40515176   0.86368814
 44.60000000   1.25263878  -0.40809474   0.86782262
 44.80000000   0.77594062  -1.06728105   0.87058635
 45.00000000   0.00131888  -1.31993145   0.87111039
 45.20000000  -0.77572087  -1.06841957   0.87163163
 45.40000000  -1.25801834  -0.40768657   0.87440924
 45.60000000  -1.26039851   0.41059184   0.87859503
 45.80000000  -0.78076554   1.07386753   0.88139316
 46.00000000  -0.00135654   1.32809852   0.88192376
 46.20000000   0.78049672   1.07504777   0.88245141
 46.40000000   1.26579313   0.41023725   0.88526342
 46.60000000   1.26820631  -0.41310423   0.88950117
 46.80000000   0.78562047  -1.08049466   0.89233411
 47.00000000   0.00139460  -1.33631612   0.89287136
 47.20000000  -0.78530197  -1.08171708   0.89340551
 47.40000000  -1.27361596  -0.41280388   0.89625233
 47.60000000  -1.27606247   0.41563198   0.90054269
 47.80000000  -0.79050558   1.08716269   0.90341089
 48.00000000  -0.00143309   1.34458456   0.90395485
 48.20000000   0.79013680   1.08842776   0.90449558
 48.40000000   1.28148715   0.41538656   0.90737765
 48.60000000   1.28396730  -0.41817520   0.91172127
 48.80000000   0.79542106  -1.09387186   0.91462516
 49.00000000   0.00147199  -1.35290417   0.91517593
 49.20000000  -0.79500139  -1.09518008   0.91572331
 49.40000000  -1.28940697  -0.41798540   0.91864107
 49.60000000  -1.29192110   0.42073398   0.92303860
 49.80000000  -0.80036711   1.10062244   0.92597863
 50.00000000  -0.00151133   1.36127525   0.92653630
 50.20000000   0.79989594   1.10197429   0.92709042
 50.40000000   1.29737575   0.42060050   0.93004431
 50.60000000   1.29992417  -0.42330841   0.93449643
 50.80000000   0.80534391  -1.10741467   0.93747304
 51.00000000   0.00155109  -1.36969813   0.93803768
 51.20000000  -0.80482062  -1.10881064   0.93859863
 51.40000000  -1.30539377  -0.42323196   0.94158909
 51.60000000  -1.30797681   0.42589860   0.94609648
 51.80000000  -0.81035166   1.11424882   0.94911013
 52.00000000  -0.00159129   1.37817312   0.94968184
 52.20000000   0.80977561   1.11568940   0.95024969
 52.40000000   1.31346134   0.42587988   0.95327718
 52.60000000   1.31607934  -0.42850463   0.95784052
 52.80000000   0.81539055  -1.12112515   0.96089168
 53.00000000   0.00163193  -1.38670055   0.96147054
 53.20000000  -0.81476111  -1.12261084   0.96204538
 53.40000000  -1.32157877  -0.42854436   0.96511036
 53.60000000  -1.32423206   0.43112660   0.96973034
 53.80000000  -0.82046077   1.12804391   0.97281947
 54.00000000  -0.00167301   1.39528075   0.97340558
 54.20000000   0.81977731   1.12957522   0.97398750
 54.40000000   1.32974637   0.43122551   0.97709043
 54.60000000   1.33243528  -0.43376462   0.98176776
 54.80000000   0.82556251  -1.13500537   0.98489533
 55.00000000   0.00171453  -1.40391403   0.98548877
 55.20000000  -0.82482438  -1.13658279   0.98607785
 55.40000000  -1.33796445  -0.43392344   0.98921920
 55.60000000  -1.34068932   0.43641878   0.99395460
 55.80000000  -0.83069598   1.14200979   0.99712108
 56.00000000  -0.00175651   1.41260073   0.99772196
 56.20000000   0.82990253   1.14363385   0.99831829
 56.40000000   1.34623331   0.43663824   1.00149854
 56.60000000   1.34899449  -0.43908917   1.00629271
 56.80000000   0.83586136  -1.14905743   1.00949860
 57.00000000   0.00179894  -1.42134118   1.01010699
 57.20000000  -0.83501194  -1.15072864   1.01071067
 57.40000000  -1.35455327  -0.43937002   1.01393029
 57.60000000  -1.35735110   0.44177590   1.01878398
 57.80000000  -0.84105887   1.15614857   1.02202976
 58.00000000  -0.00184182   1.43013571   1.02264577
 58.20000000   0.84015281   1.15786745   1.02325688
 58.40000000   1.36292466   0.44211889   1.02651637
 58.60000000   1.36575948  -0.44447907   1.03143030
 58.80000000   0.84628869  -1.16328346   1.03471648
 59.00000000   0.00188517  -1.43898465   1.03534020
 59.20000000  -0.84532532  -1.16505054   1.03595883
 59.40000000  -1.37134778  -0.44488496   1.03925868
 59.60000000  -1.37421995   0.44719878   1.04423361
 59.80000000  -0.85155103   1.17046239   1.04756068
 60.00000000  -0.00192899   1.44788835   1.04819220
 60.20000000   0.85052968   1.17227819   1.04881845
 60.40000000   1.37982295   0.44766833   1.05215916
 60.60000000   1.38273283  -0.44993512   1.05719584
 60.80000000   0.85684609  -1.17768562   1.06056432
 61.00000000   0.00197327  -1.45684714   1.06120374
 61.20000000  -0.85576608  -1.17955068   1.06183770
 61.40000000  -1.38835050  -0.45046911   1.06521977
 61.60000000  -1.39129844   0.45268821   1.07031898
 61.80000000  -0.86217407   1.18495342   1.07372937
 62.00000000  -0.00201803   1.46586136   1.07437680
 62.20000000   0.86103472   1.18686829   1.07501856
 62.40000000   1.39693076   0.45328742   1.07844251
 62.60000000   1.39991711  -0.45545814   1.08360502
 62.80000000   0.86753519  -1.19226608   1.08705785
 63.00000000   0.00206327  -1.47493135   1.08771338
 63.20000000  -0.86633579  -1.19423129   1.08836304
 63.40000000  -1.40556404  -0.45612335   1.09182939
 63.60000000  -1.40858917   0.45824502   1.09705598
 63.80000000  -0.87292964   1.19962386   1.10055177
 64.00000000  -0.00210898   1.48405747   1.10121551
 64.20000000   0.87166950   1.20163997   1.10187317
