# E(eV)    s-DOS    p-DOS    d-DOS    Total
36.372116 0.000015 0.000396 0.002904 0.003316
36.558116 0.000009 0.000357 0.002558 0.002923
36.743116 0.000012 0.000366 0.002511 0.002889
36.928116 0.000009 0.000285 0.002083 0.002377
37.114116 0.000002 0.000170 0.001517 0.001689
37.299116 0.000001 0.000111 0.001097 0.001209
37.484116 0.000005 0.000161 0.001723 0.001889
37.670116 0.000010 0.000210 0.002235 0.002455
37.855116 0.000018 0.000102 0.001077 0.001197
38.040116 0.000119 0.000048 0.000650 0.000817
38.225116 0.000333 0.000073 0.001021 0.001427
38.411116 0.000280 0.000045 0.000608 0.000934
38.596116 0.000068 0.000008 0.000119 0.000196
38.781116 0.000004 0.000000 0.000007 0.000012
38.967116 0.000000 0.000000 0.000000 0.000000
39.152116 0.000000 0.000000 0.000000 0.000000
39.337116 0.000000 0.000000 0.000000 0.000000
39.523116 0.000000 0.000000 0.000000 0.000000
39.708116 0.000000 0.000000 0.000000 0.000000
39.893116 0.000000 0.000000 0.000000 0.000000
40.079116 0.000000 0.000000 0.000000 0.000000
40.264116 0.000000 0.000000 0.000000 0.000000
40.449116 0.000000 0.000000 0.000000 0.000000
40.634116 0.000000 0.000000 0.000000 0.000000
40.820116 0.000000 0.000000 0.000000 0.000000
