# E(eV)    s-DOS    p-DOS    d-DOS    Total
35.261116 -0.000017 0.000000 0.000567 0.000550
35.446116 -0.000015 0.000021 0.000123 0.000129
35.631116 -0.000018 -0.000008 -0.000196 -0.000222
35.817116 -0.000013 -0.000028 -0.000041 -0.000081
36.002116 -0.000016 -0.000062 -0.000074 -0.000152
36.187116 -0.000008 -0.000042 -0.000094 -0.000144
36.372116 -0.000001 -0.000014 -0.000063 -0.000079
36.558116 0.000000 0.000000 0.000006 0.000006
36.743116 -0.000000 0.000005 0.000067 0.000073
36.928116 -0.000000 0.000006 0.000076 0.000082
37.114116 -0.000000 0.000004 0.000036 0.000040
37.299116 -0.000000 0.000001 0.000015 0.000016
37.484116 0.000000 -0.000002 0.000027 0.000026
37.670116 0.000002 0.000000 0.000097 0.000099
37.855116 0.000002 0.000001 0.000067 0.000070
38.040116 0.000013 0.000002 0.000049 0.000065
38.225116 0.000052 -0.000001 -0.000009 0.000041
38.411116 0.000029 -0.000010 -0.000099 -0.000081
38.596116 -0.000003 -0.000005 -0.000042 -0.000050
38.781116 -0.000001 -0.000000 -0.000003 -0.000005
38.967116 -0.000000 -0.000000 -0.000000 -0.000000
39.152116 -0.000000 -0.000000 -0.000000 -0.000000
39.337116 -0.000000 -0.000000 -0.000000 -0.000000
39.523116 -0.000000 -0.000000 -0.000000 -0.000000
39.708116 0.000000 0.000000 0.000000 0.000000
39.893116 0.000000 0.000000 0.000000 0.000000
40.079116 0.000000 0.000000 0.000000 0.000000
40.264116 0.000000 0.000000 0.000000 0.000000
40.449116 0.000000 0.000000 0.000000 0.000000
40.634116 0.000000 0.000000 0.000000 0.000000
40.820116 0.000000 0.000000 0.000000 0.000000
