# E(eV)    s-DOS    p-DOS    d-DOS    Total
37.413076 0.000001 0.000118 0.001262 0.001381
37.598076 0.000004 0.000292 0.002911 0.003207
37.783076 0.000003 0.000130 0.001240 0.001372
37.968076 0.000008 0.000009 0.000140 0.000157
38.153076 0.000307 0.000090 0.001392 0.001789
38.338076 0.000567 0.000074 0.000626 0.001267
38.523076 0.000031 0.000003 0.000010 0.000044
38.708076 0.000000 0.000000 0.000000 0.000000
38.893076 0.000000 0.000000 0.000000 0.000000
39.079076 0.000000 0.000000 0.000000 0.000000
39.264076 0.000000 0.000000 0.000000 0.000000
39.449076 0.000000 0.000000 0.000000 0.000000
39.634076 0.000000 0.000000 0.000000 0.000000
39.819076 0.000000 0.000000 0.000000 0.000000
40.004076 0.000000 0.000000 0.000000 0.000000
40.189076 0.000000 0.000000 0.000000 0.000000
40.374076 0.000000 0.000000 0.000000 0.000000
40.559076 0.000000 0.000000 0.000000 0.000000
40.744076 0.000000 0.000000 0.000000 0.000000
