# E(eV)    s-DOS    p-DOS    d-DOS    Total
36.558116 -0.000002 -0.000006 -0.000049 -0.000057
36.743116 -0.000000 0.000001 0.000007 0.000008
36.928116 -0.000000 0.000003 0.000027 0.000030
37.114116 -0.000000 0.000001 0.000014 0.000015
37.299116 -0.000000 -0.000009 -0.000101 -0.000110
37.484116 -0.000001 -0.000012 -0.000148 -0.000161
37.670116 -0.000002 0.000001 -0.000016 -0.000018
37.855116 -0.000001 0.000005 0.000049 0.000053
38.040116 0.000017 0.000006 0.000057 0.000079
38.225116 0.000062 0.000012 0.000082 0.000156
38.411116 0.000039 0.000010 0.000056 0.000105
38.596116 0.000001 0.000002 0.000011 0.000014
38.781116 -0.000001 0.000000 0.000001 -0.000000
38.967116 -0.000000 -0.000000 0.000000 -0.000000
39.152116 -0.000000 -0.000000 0.000000 -0.000000
39.337116 -0.000000 -0.000000 0.000000 -0.000000
39.523116 -0.000000 -0.000000 0.000000 -0.000000
39.708116 0.000000 0.000000 0.000000 0.000000
39.893116 0.000000 0.000000 0.000000 0.000000
40.079116 0.000000 0.000000 0.000000 0.000000
40.264116 0.000000 0.000000 0.000000 0.000000
40.449116 0.000000 0.000000 0.000000 0.000000
40.634116 0.000000 0.000000 0.000000 0.000000
40.820116 0.000000 0.000000 0.000000 0.000000
