# E(eV)    s        py       pz       px       dxy      dyz      dz2      dxz      dx2-y2      Total
-7.487681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
-7.377681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
-7.267681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
-7.158681 0.003496 0.000021 0.000022 0.000047 0.000615 0.000885 0.000007 0.000856 0.000007 0.005955
-7.048681 0.017830 0.000138 0.000197 0.000357 0.003074 0.004653 0.000083 0.004366 0.000071 0.030770
-6.938681 0.026290 0.000353 0.000547 0.000967 0.004425 0.006657 0.000310 0.006138 0.000328 0.046015
-6.828681 0.038090 0.000638 0.001245 0.002005 0.006635 0.008814 0.000717 0.007830 0.000766 0.066740
-6.719681 0.084620 0.001602 0.003949 0.005002 0.010030 0.016870 0.001847 0.010340 0.001754 0.136014
-6.609681 0.141400 0.003799 0.008033 0.011110 0.022670 0.017530 0.005010 0.014800 0.003765 0.228117
-6.499681 0.110900 0.008953 0.005349 0.009062 0.018720 0.013830 0.004003 0.012010 0.003936 0.186763
-6.390681 0.013640 0.000796 0.001675 0.002965 0.001903 0.002308 0.000886 0.001389 0.000783 0.026345
-6.280681 0.011100 0.004244 0.007902 0.026150 0.003652 0.002397 0.003405 0.001834 0.004068 0.064752
-6.170681 0.007840 0.016820 0.030370 0.034010 0.009894 0.006658 0.019240 0.005758 0.018120 0.148710
-6.060681 0.004746 0.013610 0.028670 0.023080 0.010740 0.010890 0.045820 0.010650 0.035850 0.184056
-5.951681 0.002379 0.010320 0.015620 0.018200 0.013560 0.014910 0.030800 0.011300 0.029030 0.146119
-5.841681 0.000995 0.004972 0.004512 0.007349 0.005866 0.006778 0.008658 0.005095 0.016990 0.061215
-5.731681 0.001149 0.002131 0.004809 0.001938 0.004870 0.005694 0.004297 0.002668 0.003741 0.031297
-5.622681 0.005077 0.007160 0.011130 0.012030 0.018320 0.016790 0.019300 0.010230 0.033420 0.133457
-5.512681 0.005440 0.006447 0.013400 0.010020 0.023720 0.016540 0.023280 0.011040 0.025310 0.135197
-5.402681 0.018330 0.005284 0.015880 0.010340 0.032510 0.023450 0.035730 0.020610 0.033880 0.196014
-5.293681 0.008678 0.002586 0.009615 0.006931 0.019980 0.015230 0.021080 0.011120 0.020120 0.115340
-5.183681 0.003422 0.002638 0.014610 0.004320 0.018470 0.014230 0.023260 0.008549 0.025870 0.115369
-5.073681 0.004602 0.001426 0.012530 0.003579 0.014320 0.011480 0.015720 0.006156 0.012870 0.082683
-4.963681 0.004791 0.000643 0.006326 0.002689 0.009081 0.008309 0.008739 0.004513 0.006638 0.051729
-4.854681 0.000535 0.000118 0.000535 0.000314 0.000934 0.001148 0.001262 0.000528 0.001298 0.006673
-4.744681 0.007645 0.000834 0.002875 0.001822 0.004596 0.009238 0.004509 0.012940 0.002480 0.046939
-4.634681 0.010740 0.001711 0.007982 0.004186 0.012670 0.020870 0.018560 0.021070 0.014110 0.111899
-4.525681 0.015950 0.003143 0.017380 0.008314 0.024960 0.061100 0.042080 0.039810 0.039660 0.252397
-4.415681 0.026570 0.006960 0.030760 0.016720 0.034150 0.115200 0.059420 0.090080 0.065620 0.445480
-4.305681 0.049040 0.002834 0.009925 0.009310 0.052290 0.100200 0.032550 0.087000 0.047950 0.391099
-4.196681 0.004842 0.000584 0.000851 0.001918 0.005129 0.017780 0.006452 0.010280 0.012520 0.060357
-4.086681 0.023140 0.013470 0.005116 0.013530 0.061560 0.078330 0.050090 0.033280 0.060700 0.339216
-3.976681 0.023060 0.007823 0.004270 0.007834 0.040250 0.060140 0.059110 0.027490 0.044460 0.274437
-3.866681 0.019920 0.004889 0.003614 0.004739 0.029850 0.037550 0.032500 0.020090 0.030790 0.183942
-3.757681 0.017630 0.002891 0.002742 0.003230 0.036110 0.015750 0.027060 0.018280 0.021940 0.145633
-3.647681 0.029070 0.004224 0.002641 0.008581 0.081890 0.023180 0.074020 0.036930 0.039300 0.299836
-3.537681 0.034150 0.013190 0.004603 0.018160 0.093810 0.056510 0.139100 0.054030 0.062900 0.476453
-3.428681 0.030380 0.008234 0.005054 0.013330 0.091480 0.033720 0.153700 0.042740 0.091720 0.470358
-3.318681 0.019970 0.005140 0.003186 0.008125 0.064510 0.018000 0.135100 0.023960 0.093550 0.371541
-3.208681 0.014570 0.003466 0.001554 0.006144 0.043620 0.012060 0.095420 0.014200 0.085080 0.276114
-3.098681 0.025620 0.005543 0.002972 0.007449 0.039130 0.016130 0.101900 0.019920 0.119100 0.337764
-2.989681 0.030420 0.008581 0.003723 0.008043 0.038800 0.024380 0.120900 0.035960 0.162800 0.433607
-2.879681 0.029460 0.013810 0.004511 0.010030 0.034630 0.032260 0.123300 0.044770 0.214200 0.506971
-2.769681 0.030040 0.020460 0.006779 0.014810 0.041070 0.040940 0.139200 0.051010 0.217800 0.562109
-2.660681 0.024000 0.016440 0.005145 0.015350 0.040780 0.037240 0.128500 0.048700 0.157800 0.473955
-2.550681 0.019270 0.012900 0.003920 0.012470 0.033000 0.035410 0.116700 0.046240 0.117700 0.397610
-2.440681 0.016390 0.008355 0.003351 0.007835 0.027410 0.031830 0.099950 0.040820 0.078030 0.313971
-2.331681 0.012410 0.002802 0.002048 0.003667 0.018560 0.021250 0.069590 0.037310 0.045670 0.213307
-2.221681 0.006320 0.000406 0.000934 0.001012 0.009966 0.011970 0.023020 0.023530 0.016020 0.093179
-2.111681 0.007308 0.001793 0.004413 0.004146 0.042710 0.059590 0.041670 0.042160 0.040730 0.244520
-2.001681 0.024890 0.008961 0.012300 0.016560 0.200400 0.211800 0.164500 0.087130 0.149500 0.876041
-1.892681 0.023880 0.009264 0.011550 0.020750 0.195600 0.227300 0.160400 0.089820 0.136700 0.875264
-1.782681 0.015010 0.009122 0.007346 0.010530 0.110000 0.133000 0.077330 0.098640 0.121800 0.582778
-1.672681 0.016620 0.016200 0.011380 0.012290 0.140100 0.163300 0.080130 0.142000 0.162600 0.744620
-1.563681 0.021500 0.020830 0.020020 0.020190 0.193200 0.246100 0.077220 0.179900 0.190400 0.969360
-1.453681 0.015620 0.018760 0.017390 0.017490 0.178000 0.277300 0.064130 0.173800 0.140300 0.902790
-1.343681 0.010530 0.016290 0.014610 0.014420 0.200600 0.254500 0.071550 0.138000 0.106600 0.827100
-1.233681 0.007131 0.009241 0.011040 0.008517 0.253900 0.206000 0.046050 0.126500 0.059870 0.728249
-1.124681 0.010650 0.006232 0.007955 0.006030 0.399400 0.225700 0.073200 0.091530 0.032860 0.853557
-1.014681 0.045730 0.008738 0.013050 0.008062 0.797000 1.044000 0.132500 0.442500 0.047050 2.538630
-0.904681 0.022640 0.008612 0.011440 0.008545 0.456700 0.643800 0.056540 0.476600 0.026260 1.711137
-0.795681 0.018490 0.009356 0.012910 0.009905 0.471500 0.537100 0.043340 0.586700 0.023430 1.712731
-0.685681 0.002466 0.001386 0.002984 0.003493 0.112600 0.166700 0.012610 0.167100 0.014180 0.483519
-0.575681 0.010110 0.014380 0.006828 0.006358 0.869200 0.799900 0.058990 1.254000 0.098390 3.118156
-0.466681 0.027730 0.015910 0.018420 0.015050 0.923600 1.385000 0.072540 1.590000 0.094640 4.142890
-0.356681 0.014580 0.010340 0.016540 0.008574 0.522400 0.482600 0.039760 0.825100 0.026250 1.946144
-0.246681 0.004199 0.012580 0.012840 0.012440 0.365100 0.205400 0.022780 0.690500 0.022760 1.348599
-0.136681 0.000363 0.006844 0.001782 0.006601 0.055850 0.054100 0.001620 0.139900 0.007678 0.274738
-0.027681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.082319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.192319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.301319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.411319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.521319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.630319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.740319 0.000211 0.000108 0.000074 0.000187 0.000330 0.000481 0.018470 0.000334 0.051430 0.071626
0.850319 0.000368 0.000375 0.000244 0.000448 0.001230 0.001082 0.051650 0.001073 0.120800 0.177270
0.960319 0.001568 0.001130 0.000761 0.001040 0.004175 0.002873 0.349700 0.002954 0.208500 0.572701
1.069319 0.002220 0.002118 0.002153 0.002205 0.007027 0.006534 0.609300 0.005940 0.459100 1.096597
1.179319 0.002033 0.002696 0.002024 0.002759 0.010950 0.010550 0.896900 0.009457 0.610600 1.547969
1.289319 0.000906 0.001919 0.001331 0.002484 0.009994 0.011970 0.713100 0.011260 0.635200 1.388164
