# E(eV)    s-DOS    p-DOS    d-DOS    Total
67.172064 0.000000 0.000003 0.000012 0.000015
67.458064 0.000033 0.000184 0.000827 0.001043
67.745064 0.000001 0.000006 0.000028 0.000035
68.031064 0.000000 0.000003 0.000024 0.000027
68.318064 0.000003 0.000033 0.000318 0.000355
68.604064 0.000000 0.000000 0.000002 0.000002
68.890064 0.000000 0.000000 0.000000 0.000000
69.177064 0.000000 0.000000 0.000000 0.000000
69.463064 0.000000 0.000000 0.000000 0.000000
69.750064 0.000000 0.000000 0.000000 0.000000
70.036064 0.000000 0.000000 0.000000 0.000000
70.323064 0.000000 0.000000 0.000000 0.000000
70.609064 0.000000 0.000000 0.000000 0.000000
70.895064 0.000000 0.000000 0.000000 0.000000
71.182064 0.000000 0.000000 0.000000 0.000000
71.468064 0.000000 0.000000 0.000000 0.000000
71.755064 0.000000 0.000000 0.000000 0.000000
72.041064 0.000000 0.000000 0.000000 0.000000
