#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    3.578107   15.338052   15.338052   15.338052    0.000000   -0.000000    0.000000
    3.621743   14.738727   14.738727   14.738727    0.000000   -0.000000    0.000000
    3.665378   14.144293   14.144293   14.144293    0.000000   -0.000000    0.000000
    3.709014   13.553076   13.553076   13.553076    0.000000   -0.000000    0.000000
    3.752649   12.964523   12.964523   12.964523    0.000000   -0.000000    0.000000
    3.796285   12.384253   12.384253   12.384253    0.000000   -0.000000    0.000000
    3.839920   11.826322   11.826322   11.826322    0.000000    0.000000    0.000000
    3.883556   11.311866   11.311866   11.311866    0.000000    0.000000    0.000000
    3.927191   10.864466   10.864466   10.864466    0.000000    0.000000    0.000000
    3.970826   10.503491   10.503491   10.503491    0.000000   -0.000000    0.000000
    4.014462   10.237375   10.237375   10.237375    0.000000    0.000000    0.000000
    4.058097   10.059188   10.059188   10.059188    0.000000    0.000000    0.000000
    4.101733    9.946379    9.946379    9.946379    0.000000    0.000000   -0.000000
    4.145368    9.865173    9.865173    9.865173    0.000000    0.000000   -0.000000
    4.189004    9.778295    9.778295    9.778295   -0.000000   -0.000000   -0.000000
    4.232639    9.653521    9.653521    9.653521   -0.000000   -0.000000   -0.000000
    4.276275    9.470265    9.470265    9.470265   -0.000000   -0.000000   -0.000000
    4.319910    9.222635    9.222635    9.222635   -0.000000   -0.000000   -0.000000
    4.363546    8.918596    8.918596    8.918596   -0.000000   -0.000000    0.000000
    4.407181    8.576275    8.576275    8.576275   -0.000000   -0.000000   -0.000000
    4.450816    8.218716    8.218716    8.218716   -0.000000   -0.000000   -0.000000
    4.494452    7.868572    7.868572    7.868572   -0.000000   -0.000000   -0.000000
    4.538087    7.543816    7.543816    7.543816   -0.000000    0.000000   -0.000000
    4.581723    7.255492    7.255492    7.255492   -0.000000    0.000000   -0.000000
    4.625358    7.007881    7.007881    7.007881   -0.000000    0.000000   -0.000000
    4.668994    6.800733    6.800733    6.800733   -0.000000   -0.000000   -0.000000
    4.712629    6.632104    6.632104    6.632104   -0.000000   -0.000000   -0.000000
    4.756265    6.500295    6.500295    6.500295   -0.000000   -0.000000   -0.000000
    4.799900    6.403631    6.403631    6.403631    0.000000   -0.000000   -0.000000
    4.843536    6.338379    6.338379    6.338379    0.000000   -0.000000   -0.000000
    4.887171    6.296341    6.296341    6.296341    0.000000   -0.000000   -0.000000
    4.930806    6.263907    6.263907    6.263907    0.000000    0.000000   -0.000000
    4.974442    6.223660    6.223660    6.223660    0.000000    0.000000    0.000000
    5.018077    6.158106    6.158106    6.158106    0.000000    0.000000    0.000000
    5.061713    6.054050    6.054050    6.054050    0.000000    0.000000    0.000000
    5.105348    5.905791    5.905791    5.905791    0.000000    0.000000    0.000000
    5.148984    5.716053    5.716053    5.716053    0.000000    0.000000    0.000000
    5.192619    5.494603    5.494603    5.494603    0.000000    0.000000   -0.000000
    5.236255    5.255485    5.255485    5.255485    0.000000    0.000000   -0.000000
    5.279890    5.014045    5.014045    5.014045    0.000000    0.000000   -0.000000
    5.323526    4.784626    4.784626    4.784626    0.000000    0.000000   -0.000000
    5.367161    4.579209    4.579209    4.579209    0.000000    0.000000   -0.000000
    5.410796    4.406855    4.406855    4.406855    0.000000    0.000000   -0.000000
    5.454432    4.273614    4.273614    4.273614    0.000000    0.000000    0.000000
    5.498067    4.182621    4.182621    4.182621    0.000000    0.000000    0.000000
    5.541703    4.134158    4.134158    4.134158    0.000000    0.000000    0.000000
    5.585338    4.125656    4.125656    4.125656   -0.000000   -0.000000    0.000000
    5.628974    4.151620    4.151620    4.151620   -0.000000   -0.000000   -0.000000
    5.672609    4.203549    4.203549    4.203549   -0.000000   -0.000000   -0.000000
    5.716245    4.270120    4.270120    4.270120   -0.000000    0.000000   -0.000000
    5.759880    4.337925    4.337925    4.337925    0.000000    0.000000   -0.000000
    5.803516    4.392982    4.392982    4.392982    0.000000    0.000000   -0.000000
    5.847151    4.422998    4.422998    4.422998   -0.000000    0.000000   -0.000000
    5.890786    4.419847    4.419847    4.419847   -0.000000   -0.000000   -0.000000
    5.934422    4.381431    4.381431    4.381431   -0.000000   -0.000000   -0.000000
    5.978057    4.311905    4.311905    4.311905   -0.000000   -0.000000   -0.000000
    6.021693    4.220019    4.220019    4.220019   -0.000000    0.000000    0.000000
    6.065328    4.115978    4.115978    4.115978   -0.000000    0.000000    0.000000
    6.108964    4.008178    4.008178    4.008178   -0.000000    0.000000    0.000000
    6.152599    3.901112    3.901112    3.901112   -0.000000    0.000000    0.000000
    6.196235    3.795293    3.795293    3.795293   -0.000000    0.000000    0.000000
    6.239870    3.688866    3.688866    3.688866   -0.000000    0.000000    0.000000
    6.283506    3.579818    3.579818    3.579818   -0.000000    0.000000    0.000000
    6.327141    3.467681    3.467681    3.467681   -0.000000   -0.000000    0.000000
    6.370776    3.354001    3.354001    3.354001   -0.000000   -0.000000    0.000000
    6.414412    3.241824    3.241824    3.241824   -0.000000   -0.000000   -0.000000
    6.458047    3.134770    3.134770    3.134770   -0.000000   -0.000000   -0.000000
    6.501683    3.036311    3.036311    3.036311   -0.000000   -0.000000   -0.000000
    6.545318    2.949414    2.949414    2.949414   -0.000000   -0.000000   -0.000000
    6.588954    2.876360    2.876360    2.876360   -0.000000   -0.000000   -0.000000
    6.632589    2.818507    2.818507    2.818507   -0.000000   -0.000000   -0.000000
    6.676225    2.775929    2.775929    2.775929   -0.000000   -0.000000   -0.000000
    6.719860    2.747144    2.747144    2.747144   -0.000000   -0.000000   -0.000000
    6.763496    2.729235    2.729235    2.729235   -0.000000   -0.000000   -0.000000
    6.807131    2.718357    2.718357    2.718357   -0.000000   -0.000000   -0.000000
    6.850766    2.710533    2.710533    2.710533   -0.000000   -0.000000   -0.000000
    6.894402    2.702244    2.702244    2.702244   -0.000000   -0.000000   -0.000000
    6.938037    2.690607    2.690607    2.690607   -0.000000   -0.000000   -0.000000
    6.981673    2.673126    2.673126    2.673126   -0.000000   -0.000000   -0.000000
    7.025308    2.647352    2.647352    2.647352   -0.000000    0.000000   -0.000000
    7.068944    2.610787    2.610787    2.610787    0.000000    0.000000   -0.000000
    7.112579    2.561261    2.561261    2.561261    0.000000    0.000000   -0.000000
    7.156215    2.497588    2.497588    2.497588    0.000000    0.000000   -0.000000
    7.199850    2.420260    2.420260    2.420260    0.000000    0.000000   -0.000000
    7.243486    2.331841    2.331841    2.331841    0.000000    0.000000   -0.000000
    7.287121    2.236836    2.236836    2.236836    0.000000    0.000000   -0.000000
    7.330756    2.141000    2.141000    2.141000    0.000000    0.000000   -0.000000
    7.374392    2.050227    2.050227    2.050227    0.000000    0.000000    0.000000
    7.418027    1.969426    1.969426    1.969426    0.000000    0.000000    0.000000
    7.461663    1.901774    1.901774    1.901774    0.000000    0.000000    0.000000
    7.505298    1.848694    1.848694    1.848694    0.000000    0.000000    0.000000
    7.548934    1.810472    1.810472    1.810472   -0.000000    0.000000    0.000000
    7.592569    1.787062    1.787062    1.787062   -0.000000    0.000000    0.000000
    7.636205    1.778538    1.778538    1.778538    0.000000    0.000000    0.000000
    7.679840    1.784881    1.784881    1.784881    0.000000    0.000000    0.000000
    7.723476    1.805239    1.805239    1.805239    0.000000   -0.000000    0.000000
    7.767111    1.837163    1.837163    1.837163   -0.000000   -0.000000    0.000000
    7.810747    1.876363    1.876363    1.876363   -0.000000   -0.000000    0.000000
    7.854382    1.917270    1.917270    1.917270   -0.000000   -0.000000    0.000000
    7.898017    1.954279    1.954279    1.954279   -0.000000   -0.000000    0.000000
    7.941653    1.983146    1.983146    1.983146   -0.000000   -0.000000    0.000000
    7.985288    2.002013    2.002013    2.002013   -0.000000   -0.000000    0.000000
    8.028924    2.011630    2.011630    2.011630    0.000000   -0.000000    0.000000
    8.072559    2.014759    2.014759    2.014759   -0.000000   -0.000000    0.000000
    8.116195    2.014997    2.014997    2.014997    0.000000   -0.000000    0.000000
    8.159830    2.015558    2.015558    2.015558    0.000000    0.000000    0.000000
    8.203466    2.018470    2.018470    2.018470   -0.000000    0.000000    0.000000
    8.247101    2.024425    2.024425    2.024425   -0.000000   -0.000000   -0.000000
    8.290737    2.033216    2.033216    2.033216   -0.000000   -0.000000   -0.000000
    8.334372    2.044472    2.044472    2.044472   -0.000000   -0.000000   -0.000000
    8.378007    2.058313    2.058313    2.058313   -0.000000   -0.000000   -0.000000
    8.421643    2.075695    2.075695    2.075695   -0.000000   -0.000000   -0.000000
    8.465278    2.098314    2.098314    2.098314   -0.000000   -0.000000   -0.000000
    8.508914    2.128135    2.128135    2.128135   -0.000000   -0.000000   -0.000000
    8.552549    2.166598    2.166598    2.166598   -0.000000   -0.000000   -0.000000
    8.596185    2.213766    2.213766    2.213766   -0.000000   -0.000000   -0.000000
    8.639820    2.267712    2.267712    2.267712   -0.000000   -0.000000   -0.000000
    8.683456    2.324481    2.324481    2.324481   -0.000000   -0.000000   -0.000000
    8.727091    2.378869    2.378869    2.378869   -0.000000   -0.000000   -0.000000
    8.770727    2.425845    2.425845    2.425845   -0.000000   -0.000000   -0.000000
    8.814362    2.462153    2.462153    2.462153   -0.000000   -0.000000   -0.000000
    8.857997    2.487398    2.487398    2.487398    0.000000   -0.000000    0.000000
    8.901633    2.504109    2.504109    2.504109    0.000000   -0.000000    0.000000
    8.945268    2.516706    2.516706    2.516706   -0.000000   -0.000000    0.000000
    8.988904    2.529829    2.529829    2.529829   -0.000000   -0.000000    0.000000
    9.032539    2.546731    2.546731    2.546731   -0.000000    0.000000   -0.000000
    9.076175    2.568352    2.568352    2.568352   -0.000000    0.000000   -0.000000
    9.119810    2.593371    2.593371    2.593371   -0.000000    0.000000   -0.000000
    9.163446    2.619028    2.619028    2.619028   -0.000000    0.000000    0.000000
    9.207081    2.642245    2.642245    2.642245   -0.000000    0.000000    0.000000
    9.250717    2.660603    2.660603    2.660603   -0.000000   -0.000000    0.000000
    9.294352    2.672801    2.672801    2.672801   -0.000000   -0.000000    0.000000
    9.337987    2.678560    2.678560    2.678560   -0.000000   -0.000000    0.000000
    9.381623    2.678084    2.678084    2.678084   -0.000000   -0.000000    0.000000
    9.425258    2.671361    2.671361    2.671361   -0.000000   -0.000000    0.000000
    9.468894    2.657603    2.657603    2.657603   -0.000000   -0.000000    0.000000
    9.512529    2.635132    2.635132    2.635132   -0.000000   -0.000000    0.000000
    9.556165    2.601796    2.601796    2.601796   -0.000000   -0.000000    0.000000
